"header","predicate","type","value","attribute","subject_id"
"skos_prefLabel_en","rdfs:label","language",,"en","$root"
"skos_prefLabel_en","skos:prefLabel","language",,"en","$root"
"rdf_value","rdf:value","plain",,,"$root"
"skos_broader","skos:broader","iri","cvstatus:",,"$root"
"skos_definition_en","rdfs:comment","language",,"en","$root"
"skos_definition_en","skos:definition","language",,"en","$root"
"$constant","skos:inScheme","iri","cvstatus:",,"$root"
"$constant","rdfs:isDefinedBy","iri","cvstatus:",,"$root"
"$constant","dcterms:isPartOf","iri","cvstatus:",,"$root"
