link_column,link_property,suffix1,link_characters,suffix2,class,filename
term_localName,dcterms:isVersionOf,version,http,,template-versions.csv,dcterms:hasVersion
replaced_term_localName,dcterms:replaces,replacing_term,http,,template-replacements.csv,dcterms:isReplacedBy
